№,Секунда,Микросекунда
1,28,467264
2,28,477289
3,28,487309
4,28,497409
5,28,507442
6,28,518456
7,28,529471
8,28,540481
9,28,550502
10,28,561189
11,28,571515
12,28,581537
13,28,592368
14,28,602826
15,28,612844
16,28,623375
17,28,634382
18,28,645198
19,28,655220
20,28,665360
21,28,675446
22,28,685616
23,28,696115
24,28,707031
25,28,717695
26,28,728102
27,28,738124
28,28,748145
29,28,758675
30,28,769693
31,28,779718
32,28,790653
33,28,800682
34,28,811071
35,28,821380
36,28,832386
37,28,842412
38,28,852427
39,28,863053
40,28,873483
41,28,883528
42,28,894531
43,28,904551
44,28,914984
45,28,925447
46,28,935645
47,28,946511
48,28,956530
49,28,967485
50,28,977507
51,28,987537
52,28,998071
53,29,8095
54,29,18699
55,29,29267
56,29,39477
57,29,50483
58,29,60511
59,29,70532
60,29,80552
61,29,91495
62,29,102186
63,29,112206
64,29,122493
65,29,133497
66,29,144501
67,29,154525
68,29,165012
69,29,175215
70,29,185511
71,29,196465
72,29,207034
73,29,218034
74,29,228597
75,29,238631
76,29,248652
77,29,258699
78,29,269466
79,29,279487
80,29,290498
81,29,300517
82,29,310539
83,29,320561
84,29,330579
85,29,341366
86,29,352369
87,29,362399
88,29,372419
89,29,382438
90,29,392467
91,29,403242
92,29,413270
93,29,423315
94,29,434212
95,29,444231
96,29,454796
97,29,465033
98,29,475063
99,29,485478
100,29,495552
101,29,506472
102,29,517473
103,29,528495
104,29,539513
105,29,549533
106,29,559550
107,29,569823
108,29,580397
109,29,591406
110,29,601539
111,29,612437
112,29,622455
113,29,633438
114,29,643463
115,29,654446
116,29,664474
117,29,674563
118,29,684587
119,29,694643
120,29,704666
121,29,715183
122,29,725692
123,29,735843
124,29,746317
125,29,757346
126,29,768377
127,29,778402
128,29,788421
129,29,798646
130,29,808667
131,29,818949
132,29,829118
133,29,839185
134,29,849210
135,29,859466
136,29,869493
137,29,880436
138,29,890524
139,29,901486
140,29,911751
141,29,921787
142,29,931823
143,29,941858
144,29,951890
145,29,961928
146,29,971966
147,29,981996
148,29,992031
149,30,2246
150,30,13025
151,30,23696
152,30,34716
153,30,44984
154,30,55237
155,30,65739
156,30,75767
157,30,85793
158,30,95813
159,30,106477
160,30,116759
161,30,126785
162,30,136811
163,30,147473
164,30,157721
165,30,168479
166,30,178501
167,30,188538
168,30,198561
169,30,208866
170,30,218912
171,30,229317
172,30,239355
173,30,249404
174,30,259426
175,30,269460
176,30,279711
177,30,289733
178,30,300754
179,30,311740
180,30,321764
181,30,332783
182,30,342805
183,30,353498
184,30,363536
185,30,374554
186,30,384990
187,30,395477
188,30,405749
189,30,416123
190,30,426784
191,30,437624
192,30,447651
193,30,457966
194,30,468553
195,30,478953
196,30,489955
197,30,500964
198,30,511962
199,30,522978
200,30,533994
201,30,544964
202,30,555068
203,30,565568
204,30,575582
205,30,585598
206,30,595614
207,30,606457
208,30,616962
209,30,627951
210,30,638622
211,30,649467
212,30,660470
213,30,670489
214,30,680508
215,30,690839
216,30,700857
217,30,711477
218,30,721957
219,30,732947
220,30,743372
221,30,753959
222,30,764950
223,30,775007
224,30,785491
225,30,796453
226,30,806473
227,30,817485
228,30,827501
229,30,838504
230,30,849521
231,30,860523
232,30,870870
233,30,881881
234,30,892527
235,30,902915
236,30,913535
237,30,923577
238,30,933607
239,30,944574
240,30,954607
241,30,964646
242,30,974676
243,30,984709
244,30,994745
245,31,4780
246,31,14815
247,31,24855
248,31,34886
249,31,44920
250,31,54955
251,31,64990
252,31,75025
253,31,85058
254,31,95094
255,31,105132
256,31,115164
257,31,125198
258,31,135233
259,31,145267
260,31,155303
261,31,165338
262,31,175374
263,31,185412
264,31,195451
265,31,206457
266,31,216968
267,31,227854
268,31,238862
269,31,248960
270,31,258976
271,31,269157
272,31,279628
273,31,290461
274,31,301283
275,31,312283
276,31,322301
277,31,332679
278,31,342706
279,31,353487
280,31,363507
281,31,373527
282,31,383962
283,31,393981
284,31,404511
285,31,414963
286,31,425371
287,31,435883
288,31,446449
289,31,457452
290,31,468349
291,31,478377
292,31,488971
293,31,499984
294,31,510024
295,31,520043
296,31,530452
297,31,540474
298,31,550501
299,31,560543
300,31,570816
